City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mahina,-17.5065,-149.489,26.87,74,75,1.03,PF,1702882223
1,wailua homesteads,22.0669,-159.378,20.44,87,75,7.2,US,1702882224
2,grand-bassam,5.2118,-3.7388,25.98,85,9,0.93,CI,1702882224
3,selkirk,50.1436,-96.8845,-12.96,77,61,1.34,CA,1702882225
4,edinburgh of the seven seas,-37.0676,-12.3116,12.44,68,10,1.07,SH,1702882225
5,dauphin,51.1494,-100.0502,-16.92,85,0,1.03,CA,1702882226
6,iqaluit,63.7506,-68.5145,-25.15,64,40,3.09,CA,1702882226
7,hermanus,-34.4187,19.2345,19.1,71,98,4.55,ZA,1702882227
8,thompson,55.7435,-97.8558,-19.91,84,75,3.6,CA,1702882227
9,komsomolets,53.7453,62.0708,-10.31,95,79,3.42,KZ,1702882228
10,tiksi,71.6872,128.8694,-26.96,98,90,5.55,RU,1702882228
11,barclayville,4.6797,-8.2339,24.44,90,20,1.53,LR,1702882229
12,margaret river,-33.95,115.0667,22.15,47,15,8.58,AU,1702882229
13,mityana,0.4175,32.0228,26.94,51,30,1.0,UG,1702882230
14,port-aux-francais,-49.35,70.2167,5.36,78,23,11.18,TF,1702882230
15,bamboo flat,11.7,92.7167,29.46,68,56,4.85,IN,1702882231
16,urangan,-25.3,152.9,26.62,73,12,5.39,AU,1702882231
17,kodiak,57.79,-152.4072,-4.27,80,0,2.57,US,1702882232
18,santa ines,-3.6667,-45.38,23.31,96,37,0.47,BR,1702882233
19,hawaiian paradise park,19.5933,-154.9731,19.46,96,83,3.81,US,1702882234
20,portland,45.5234,-122.6762,7.19,73,75,6.71,US,1702882234
21,porto novo,6.4965,2.6036,24.9,76,10,1.61,BJ,1702882235
22,grytviken,-54.2811,-36.5092,1.38,83,25,4.37,GS,1702882235
23,puerto natales,-51.7236,-72.4875,6.1,87,88,2.09,CL,1702882236
24,waitangi,-43.9535,-176.5597,13.23,91,66,1.79,NZ,1702881961
25,college,64.8569,-147.8028,-12.18,85,100,0.0,US,1702882237
26,qaqortoq,60.7167,-46.0333,-4.37,91,92,3.61,GL,1702882237
27,hithadhoo,-0.6,73.0833,28.7,75,19,5.02,MV,1702882238
28,malkinia gorna,52.6922,22.0284,6.61,91,100,6.92,PL,1702882147
29,tzucacab,20.0667,-89.05,18.38,94,76,1.06,MX,1702882239
30,kidal,18.4411,1.4078,14.1,29,79,5.97,ML,1702882239
31,imbituba,-28.24,-48.6703,23.33,94,88,5.02,BR,1702882240
32,adamstown,-25.066,-130.1015,22.84,82,83,5.62,PN,1702882240
33,touros,-5.1989,-35.4608,25.87,82,100,3.72,BR,1702882241
34,klyuchi,52.2667,79.1667,-15.28,71,12,4.48,RU,1702882241
35,albany,42.6001,-73.9662,9.79,92,100,1.3,US,1702882242
36,powell river,49.8496,-124.5361,8.0,96,100,0.24,CA,1702882242
37,kavaratti,10.5669,72.642,27.13,82,94,7.8,IN,1702882243
38,usogorsk,63.4106,48.6872,-11.64,95,100,3.23,RU,1702882243
39,saint-joseph,-21.3667,55.6167,29.5,72,91,0.86,RE,1702882244
40,auki,-8.7676,160.7034,27.02,73,80,1.26,SB,1702882245
41,kruisfontein,-34.0033,24.7314,22.71,52,0,5.28,ZA,1702882245
42,hamilton,39.1834,-84.5333,5.69,87,100,6.26,US,1702882245
43,mochudi,-24.4167,26.15,25.33,50,50,3.2,BW,1702882246
44,libenge,3.65,18.6333,28.64,33,17,2.2,CD,1702882247
45,mar del plata,-38.0023,-57.5575,17.01,85,0,3.6,AR,1702882013
46,isafjordur,66.0755,-23.124,-3.38,84,100,2.3,IS,1702882247
47,vorgashor,67.5833,63.95,-17.8,89,98,5.53,RU,1702882248
48,vila franca do campo,37.7167,-25.4333,19.23,89,100,3.74,PT,1702882249
49,bethel,41.3712,-73.414,14.17,88,100,4.63,US,1702882249
50,west island,-12.1568,96.8225,28.99,65,75,4.12,CC,1702882250
51,douentza,14.9951,-2.9517,16.93,22,100,2.87,ML,1702882045
52,vernon,50.2581,-119.2691,4.23,84,100,0.89,CA,1702882251
53,dingcheng,32.1272,115.0394,0.21,73,96,2.45,CN,1702882251
54,whitehorse,60.7161,-135.0538,-0.57,54,40,1.03,CA,1702882252
55,taltal,-25.4,-70.4833,17.38,85,6,1.42,CL,1702882252
56,ciudad lazaro cardenas,17.9583,-102.2,24.16,89,6,1.57,MX,1702882253
57,zayed city,24.3768,54.589,25.03,26,0,2.06,AE,1702882253
58,udachny,66.4167,112.4,-33.89,100,91,1.25,RU,1702882254
59,gadzhiyevo,69.2551,33.3362,-6.63,90,99,6.41,RU,1702882254
60,port-saint-louis-du-rhone,43.3833,4.8,2.13,87,0,3.09,FR,1702882255
61,toliara,-23.35,43.6667,31.07,50,15,4.54,MG,1702882256
62,vilyuchinsk,52.9306,158.4028,2.18,84,100,10.29,RU,1702882256
63,necochea,-38.5473,-58.7368,13.93,75,2,7.95,AR,1702882257
64,zhosaly,45.4878,64.0781,2.87,74,100,5.64,KZ,1702882257
65,bay roberts,47.5999,-53.2648,2.51,86,100,2.24,CA,1702882258
66,chui,-33.6971,-53.4616,19.7,92,99,3.96,UY,1702882258
67,mount gambier,-37.8333,140.7667,14.63,98,100,2.64,AU,1702882259
68,ushuaia,-54.8,-68.3,7.81,71,0,6.17,AR,1702882147
69,stanley,54.868,-1.6985,12.01,86,0,7.72,GB,1702882260
70,longyearbyen,78.2186,15.6401,-1.09,74,40,8.75,SJ,1702882260
71,port alfred,-33.5906,26.891,21.21,73,5,3.58,ZA,1702882261
72,port mathurin,-19.6833,63.4167,26.76,80,46,7.03,MU,1702882261
73,oriximina,-1.7656,-55.8661,25.45,83,52,0.68,BR,1702882262
74,mahanoro,-19.9,48.8,29.5,67,100,3.19,MG,1702882262
75,cootamundra,-34.65,148.0333,31.64,15,100,2.58,AU,1702882263
76,manokwari,-0.8667,134.0833,28.13,78,70,2.09,ID,1702882264
77,al hasakah,36.5024,40.7477,9.63,34,0,5.06,SY,1702882093
78,taoudenni,22.6783,-3.9836,10.57,44,60,7.64,ML,1702882265
79,okhotsk,59.3833,143.3,-21.42,79,16,9.18,RU,1702882265
80,mozhaysk,55.5019,36.0272,0.64,89,100,4.56,RU,1702882249
