City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qui nhon,13.7667,109.2333,24.14,88,68,5.66,VN,1702843610
1,wuyang,31.9925,116.2472,-1.06,47,100,3.31,CN,1702843610
2,saipan,15.1355,145.701,26.39,89,100,7.72,MP,1702843611
3,acarau,-2.8856,-40.12,28.51,73,96,6.64,BR,1702843611
4,grytviken,-54.2811,-36.5092,4.23,63,100,6.53,GS,1702843611
5,nalut,30.3333,10.85,10.15,42,42,3.79,LY,1702843612
6,margate,51.3813,1.3862,9.5,82,80,4.02,GB,1702843585
7,porto recanati,43.4365,13.6613,8.5,79,0,3.32,IT,1702843612
8,udachny,66.4167,112.4,-36.17,100,91,1.61,RU,1702843613
9,aykhal,66.0,111.5,-30.96,100,90,2.33,RU,1702843613
10,ushuaia,-54.8,-68.3,10.79,54,91,1.14,AR,1702843391
11,aleg,17.0481,-13.9209,23.33,13,74,5.14,MR,1702843614
12,bilibino,68.0546,166.4372,-33.21,99,98,0.56,RU,1702843614
13,jamestown,42.097,-79.2353,8.77,100,100,4.12,US,1702843614
14,port alfred,-33.5906,26.891,19.54,93,62,2.24,ZA,1702843615
15,midland,31.9974,-102.0779,21.14,23,0,6.17,US,1702843615
16,port-aux-francais,-49.35,70.2167,4.94,67,99,10.4,TF,1702843616
17,puerto natales,-51.7236,-72.4875,13.25,41,75,7.2,CL,1702843616
18,khorixas,-20.3667,14.9667,24.59,25,16,5.36,NA,1702843616
19,hamilton,39.1834,-84.5333,11.69,77,75,4.12,US,1702843617
20,albany,42.6001,-73.9662,8.46,84,100,0.89,US,1702843617
21,lihue,21.9789,-159.3672,23.77,62,20,8.75,US,1702843617
22,vilyuchinsk,52.9306,158.4028,1.15,91,100,17.94,RU,1702843618
23,paltan,23.7301,90.4102,18.97,72,0,0.0,BD,1702843619
24,itupiranga,-5.1347,-49.3267,33.18,55,79,1.41,BR,1702843619
25,ribeira grande,38.5167,-28.7,19.32,94,75,4.92,PT,1702843619
26,thompson,55.7435,-97.8558,-13.7,84,100,3.51,CA,1702843620
27,namsos,64.4662,11.4957,4.03,87,100,1.03,NO,1702843539
28,adamstown,-25.066,-130.1015,22.9,83,100,7.08,PN,1702843621
29,moussoro,13.6408,16.4901,24.65,16,2,5.35,TD,1702843621
30,bechar,31.6167,-2.2167,7.84,52,0,5.85,DZ,1702843622
31,sumbe,-11.2061,13.8437,26.32,84,100,2.02,AO,1702843622
32,the bottom,17.6259,-63.2492,25.31,71,37,10.64,BQ,1702843623
33,mount isa,-20.7333,139.5,26.87,69,39,3.09,AU,1702843623
34,hithadhoo,-0.6,73.0833,28.55,75,13,5.86,MV,1702843623
35,keflavik,64.0049,-22.5624,2.24,87,75,5.66,IS,1702843546
36,coxim,-18.5067,-54.76,41.18,15,100,3.2,BR,1702843624
37,argo,37.6333,22.7333,9.88,81,5,1.97,GR,1702843380
38,tazovsky,67.4667,78.7,-14.79,75,95,9.52,RU,1702843600
39,stephenville,32.2207,-98.2023,21.8,26,0,3.09,US,1702843625
40,bredasdorp,-34.5322,20.0403,17.95,75,3,1.68,ZA,1702843625
41,choibalsan,48.0667,114.5,-29.87,89,22,2.54,MN,1702843626
42,ilulissat,69.2167,-51.1,-10.99,44,75,7.72,GL,1702843626
43,margaret river,-33.95,115.0667,14.27,66,0,5.72,AU,1702843626
44,blackmans bay,-43.0167,147.3167,13.07,78,100,2.09,AU,1702843627
45,colonia,50.9333,6.95,8.66,91,0,3.09,DE,1702843511
46,waitangi,-43.9535,-176.5597,16.57,92,100,1.79,NZ,1702843628
47,mohr,54.3528,9.7167,8.41,92,100,8.75,DE,1702843628
